"concept","word","preference"
"Drought Avoidance","disease","Preferred"
"Drought Avoidance","pest","Preferred"
"Drought Avoidance","resistant","Preferred"
"Home Use & Family Consumption","long","Preferred"
"Home Use & Family Consumption","storage","Preferred"
"Home Use & Family Consumption","duration","Preferred"
"Home Use & Family Consumption","pest","Preferred"
"Home Use & Family Consumption","invasion","Preferred"
"Resilient","drought","Preferred"
"Resilient","resistant","Preferred"
"Resilient","suitable","Preferred"
"Resilient","area","Preferred"
"Resilient","farmer","Preferred"
"Resilient","comes","Preferred"
"Resilient","area","Preferred"
"Resilient","drought","Preferred"
"Home Use & Family Consumption","floor","Preferred"
"Home Use & Family Consumption","white","Preferred"
"Home Use & Family Consumption","taste","Preferred"
"Home Use & Family Consumption","good","Preferred"
"Nutritious","nutritious","Preferred"
"Nutritious","small","Preferred"
"Nutritious","children","Preferred"
"Intercropping","planted","Preferred"
"Intercropping","yield","Preferred"
"Intercropping","maize","Preferred"
"Resilient","resistant","Preferred"
"Resilient","drought","Preferred"
"Resilient","disease","Preferred"
"Nutritious","gives","Preferred"
"Nutritious","drought","Preferred"
"Nutritious","maize","Preferred"
"Nutritious","household","Preferred"
"Nutritious","usenutritious","Preferred"
"Nutritious","children","Preferred"
"Nutritious","contains","Preferred"
"Nutritious","nutritious","Preferred"
"Nutritious","improves","Preferred"
"Nutritious","health","Preferred"
"Nutritious","children","Preferred"
"Intercropping","seed","Preferred"
"Intercropping","concept","Preferred"
"Intercropping","gives","Preferred"
"Intercropping","cob","Preferred"
"Intercropping","plant","Preferred"
"Intercropping","intercrop","Preferred"
"Home Use & Family Consumption","gives","Preferred"
"Home Use & Family Consumption","enough","Preferred"
"Home Use & Family Consumption","food","Preferred"
"Home Use & Family Consumption","household","Preferred"
"Home Use & Family Consumption","uses","Preferred"
"Feed & Fodder","seed","Preferred"
"Feed & Fodder","concept","Preferred"
"Feed & Fodder","consumption","Preferred"
"Feed & Fodder","fodder","Preferred"
"Intercropping","high","Preferred"
"Intercropping","yield","Preferred"
"Intercropping","crop","Preferred"
"Feed & Fodder","fodder","Preferred"
"Feed & Fodder","livestock","Preferred"
"Feed & Fodder","good","Preferred"
"Feed & Fodder","household","Preferred"
"Feed & Fodder","livestock","Preferred"
"Feed & Fodder","uses","Preferred"
"Drought Avoidance","shorter","Preferred"
"Drought Avoidance","maturity","Preferred"
"Drought Avoidance","periods","Preferred"
"Resilient","help","Preferred"
"Resilient","area","Preferred"
"Drought Avoidance","climate","Preferred"
"Drought Avoidance","changes","Preferred"
"Drought Avoidance","experienced","Preferred"
"Drought Avoidance","draught","Preferred"
"Drought Avoidance","resisting","Preferred"
"Drought Avoidance","characteristi","Preferred"
"Drought Avoidance","makes","Preferred"
"Drought Avoidance","preferable","Preferred"
"Resilient","seed","Preferred"
"Resilient","theres","Preferred"
"Resilient","scarcity","Preferred"
"Resilient","rainfall","Preferred"
"Resilient","low","Preferred"
"Resilient","soil","Preferred"
"Resilient","fertility","Preferred"
"Intercropping","intercrop","Preferred"
"Home Use & Family Consumption","mainly","Preferred"
"Home Use & Family Consumption","household","Preferred"
"Home Use & Family Consumption","consumption","Preferred"
"Nutritious","nutritious","Preferred"
"Nutritious","value","Preferred"
"Nutritious","children","Preferred"
"Home Use & Family Consumption","suitable","Preferred"
"Home Use & Family Consumption","fodder","Preferred"
"Home Use & Family Consumption","children","Preferred"
"Resilient","high","Preferred"
"Resilient","yield","Preferred"
"Resilient","neighbours","Preferred"
"Resilient","yield","Preferred"
"Resilient","low","Preferred"
"Resilient","rainfall","Preferred"
"Resilient","resisting","Preferred"
"Resilient","drought","Preferred"
"Resilient","less","Preferred"
"Resilient","rainfall","Preferred"
"Intercropping","intercrop","Preferred"
"Intercropping","still","Preferred"
"Intercropping","yield","Preferred"
"Intercropping","high","Preferred"
"Intercropping","produce","Preferred"
"Feed & Fodder","facts","Preferred"
"Feed & Fodder","food","Preferred"
"Feed & Fodder","household","Preferred"
"Feed & Fodder","fodder","Preferred"
"Feed & Fodder","dairy","Preferred"
"Feed & Fodder","livestock","Preferred"
"Intercropping","intercrop","Preferred"
"Feed","fodder","Preferred"
"Feed","livestock","Preferred"
"Feed","multiple","Preferred"
"Feed","uses","Preferred"
"Home Use & Family Consumption","average","Preferred"
"Home Use & Family Consumption","harvest","Preferred"
"Feed & Fodder","multiple","Preferred"
"Feed & Fodder","uses","Preferred"
"Nutritious","health","Preferred"
"Nutritious","benefits","Preferred"
"Nutritious","additional","Preferred"
"Nutritious","nutrient","Preferred"
"Intercropping","plant","Preferred"
"Intercropping","multiple","Preferred"
"Intercropping","crop","Preferred"
"Intercropping","time","Preferred"
"Resilient","grow","Preferred"
"Resilient","differenttheir","Preferred"
"Resilient","soil","Preferred"
"Resilient","weather","Preferred"
"Resilient","conditions","Preferred"
"Resilient","low","Preferred"
"Resilient","fertilizer","Preferred"
"Resilient","uses","Preferred"
"Intercropping","crop","Preferred"
"Home Use & Family Consumption","higher","Preferred"
"Home Use & Family Consumption","yield","Preferred"
"Intercropping","harvest","Preferred"
"Intercropping","maize","Preferred"
"Resilient","loss","Preferred"
"Resilient","case","Preferred"
"Resilient","drought","Preferred"
"Drought Avoidance","fear","Preferred"
"Drought Avoidance","farm","Preferred"
"Drought Avoidance","loss","Preferred"
"Resilient","crop","Preferred"
"Resilient","loss","Preferred"
"Intercropping","experience","Preferred"
"Intercropping","plant","Preferred"
"Intercropping","produces","Preferred"
"Intercropping","cob","Preferred"
"Intercropping","plant","Preferred"
"Feed & Fodder","serves","Preferred"
"Feed & Fodder","food","Preferred"
"Feed & Fodder","consumption","Preferred"
"Feed & Fodder","livestock","Preferred"
"Feed & Fodder","fodder","Preferred"
"Resilient","endure","Preferred"
"Resilient","grow","Preferred"
"Resilient","sporadic","Preferred"
"Resilient","low","Preferred"
"Resilient","rainfall","Preferred"
"Nutritious","rich","Preferred"
"Nutritious","nutritious","Preferred"
"Nutritious","important","Preferred"
"Nutritious","nutritious","Preferred"
"Nutritious","children","Preferred"
"Nutritious","schools","Preferred"
"Feed & Fodder","consumption","Preferred"
"Feed & Fodder","livestock","Preferred"
"Feed & Fodder","fodder","Preferred"
"Resilient","drought","Preferred"
"Resilient","resistanceless","Preferred"
"Resilient","fertilizer","Preferred"
"Resilient","usage","Preferred"
"Intercropping","intercrop","Preferred"
"Intercropping","result","Preferred"
"Intercropping","double","Preferred"
"Intercropping","harvest","Preferred"
"Green Maize","good","Preferred"
"Green Maize","business","Preferred"
"Green Maize","generates","Preferred"
"Green Maize","income","Preferred"
"Green Maize","salestastes","Preferred"
"Green Maize","good","Preferred"
"Intercropping","intercrop","Preferred"
"Intercropping","save","Preferred"
"Intercropping","farming","Preferred"
"Intercropping","areaand","Preferred"
"Intercropping","uses","Preferred"
"Intercropping","less","Preferred"
"Intercropping","fertilizer","Preferred"
"Nutritious","nutritious","Preferred"
"Nutritious","young","Preferred"
"Nutritious","children","Preferred"
"Nutritious","good","Preferred"
"Nutritious","overall","Preferred"
"Nutritious","health","Preferred"
"Feed & Fodder","multiple","Preferred"
"Feed & Fodder","uses","Preferred"
"Feed & Fodder","livestock","Preferred"
"Feed & Fodder","fodder","Preferred"
"Feed & Fodder","consumption","Preferred"
"Intercropping","high","Preferred"
"Intercropping","yield","Preferred"
"Feed & Fodder","multiple","Preferred"
"Feed & Fodder","useas","Preferred"
"Feed & Fodder","livestock","Preferred"
"Feed & Fodder","fodder","Preferred"
"Feed & Fodder","human","Preferred"
"Feed & Fodder","consumption","Preferred"
"Intercropping","high","Preferred"
"Intercropping","yield","Preferred"
"Intercropping","theres","Preferred"
"Intercropping","enough","Preferred"
"Intercropping","rainfall","Preferred"
"Home Use & Family Consumption","drought","Preferred"
"Home Use & Family Consumption","resistant","Preferred"
"Drought Avoidance","assured","Preferred"
"Drought Avoidance","harvest","Preferred"
"Drought Avoidance","drought","Preferred"
"Nutritious","good","Preferred"
"Nutritious","household","Preferred"
"Home Use & Family Consumption","need","Preferred"
"Home Use & Family Consumption","fodder","Preferred"
"Home Use & Family Consumption","household","Preferred"
"Green Maize","sell","Preferred"
"Green Maize","good","Preferred"
"Green Maize","money","Preferred"
"Intercropping","better","Preferred"
"Intercropping","yield","Preferred"
"Intercropping","maize","Preferred"
"Intercropping","good","Preferred"
"Intercropping","spacing","Preferred"
"Drought Avoidance","surety","Preferred"
"Drought Avoidance","harvest","Preferred"
"Intercropping","harvest","Preferred"
"Intercropping","maize","Preferred"
"Home Use & Family Consumption","good","Preferred"
"Home Use & Family Consumption","taste","Preferred"
"Home Use & Family Consumption","ugali","Preferred"
"Home Use & Family Consumption","ugalistaple","Preferred"
"Home Use & Family Consumption","food","Preferred"
"Nutritious","lot","Preferred"
"Nutritious","nutritious","Preferred"
"Nutritious","good","Preferred"
"Nutritious","health","Preferred"
"Drought Avoidance","pending","Preferred"
"Feed & Fodder","human","Preferred"
"Feed & Fodder","livestock","Preferred"
"Feed & Fodder","consumption","Preferred"
"Intercropping","planted","Preferred"
"Intercropping","together","Preferred"
"Intercropping","crop","Preferred"
"Intercropping","legumes","Preferred"
"Intercropping","acts","Preferred"
"Intercropping","Nitrogen","Preferred"
"Intercropping","fixers","Preferred"
"Intercropping","soil","Preferred"
"Intercropping","increases","Preferred"
"Intercropping","soil","Preferred"
"Intercropping","fertility","Preferred"
"Intercropping","readiness","Preferred"
"Intercropping","next","Preferred"
"Intercropping","seasons","Preferred"
"Resilient","high","Preferred"
"Resilient","yield","Preferred"
"Resilient","drought","Preferred"
"Resilient","resistant","Preferred"
"Feed & Fodder","consumption","Preferred"
"Feed & Fodder","livestock","Preferred"
"Feed & Fodder","fodder","Preferred"
"Drought Avoidance","produces","Preferred"
"Drought Avoidance","yield","Preferred"
"Drought Avoidance","normal","Preferred"
"Drought Avoidance","drought","Preferred"
"Intercropping","good","Preferred"
"Intercropping","food","Preferred"
"Intercropping","security","Preferred"
"Intercropping","land","Preferred"
"Intercropping","small","Preferred"
"Intercropping","size","Preferred"
"Nutritious","presence","Preferred"
"Nutritious","nutritious","Preferred"
"Feed & Fodder","achieves","Preferred"
"Feed & Fodder","food","Preferred"
"Feed & Fodder","security","Preferred"
"Feed & Fodder","human","Preferred"
"Feed & Fodder","livestock","Preferred"
"Feed","good","Preferred"
"Feed","source","Preferred"
"Feed","fibre","Preferred"
"Feed","livestock","Preferred"
"Drought Avoidance","high","Preferred"
"Drought Avoidance","tolerance","Preferred"
"Drought Avoidance","drought","Preferred"
"Drought Avoidance","maturity","Preferred"
"Drought Avoidance","fast","Preferred"
"Resilient","high","Preferred"
"Resilient","resistant","Preferred"
"Resilient","disease","Preferred"
"Drought Avoidance","drought","Preferred"
"Nutritious","sweet","Preferred"
"Nutritious","nutritious","Preferred"
"Nutritious","good","Preferred"
"Nutritious","children","Preferred"
"Resilient","highly","Preferred"
"Resilient","resistant","Preferred"
"Resilient","less","Preferred"
"Resilient","fertilizer","Preferred"
"Resilient","requirement","Preferred"
"Nutritious","good","Preferred"
"Nutritious","children","Preferred"
"Nutritious","consumption","Preferred"
"Nutritious","high","Preferred"
"Nutritious","nutritious","Preferred"
"Drought Avoidance","drought","Preferred"
"Drought Avoidance","avoids","Preferred"
"Feed & Fodder","fodder","Preferred"
"Feed & Fodder","food","Preferred"
"Home Use & Family Consumption","household","Preferred"
"Home Use & Family Consumption","food","Preferred"
"Home Use & Family Consumption","secured","Preferred"
"Feed","reduces","Preferred"
"Feed","cost","Preferred"
"Feed","livestock","Preferred"
"Feed","fodder","Preferred"
"Resilient","withstand","Preferred"
"Resilient","drought","Preferred"
"Resilient","disease","Preferred"
"Nutritious","fodder","Preferred"
"Nutritious","children","Preferred"
"Resilient","withstand","Preferred"
"Resilient","weather","Preferred"
"Resilient","resistant","Preferred"
"Resilient","disease","Preferred"
"Resilient","uses","Preferred"
"Resilient","less","Preferred"
"Resilient","fertilizer","Preferred"
"Resilient","less","Preferred"
"Resilient","fertility","Preferred"
"Resilient","soil","Preferred"
"Intercropping","planted","Preferred"
"Intercropping","crop","Preferred"
"Intercropping","high","Preferred"
"Intercropping","yield","Preferred"
"Nutritious","produces","Preferred"
"Nutritious","big","Preferred"
"Nutritious","maize","Preferred"
"Nutritious","cob","Preferred"
"Nutritious","sweet","Preferred"
"Nutritious","taste","Preferred"
"Nutritious","contains","Preferred"
"Nutritious","nutritious","Preferred"
"Nutritious","helps","Preferred"
"Nutritious","children","Preferred"
"Nutritious","grow","Preferred"
"Nutritious","healthier","Preferred"
"Drought Avoidance","high","Preferred"
"Drought Avoidance","nutrition","Preferred"
"Drought Avoidance","value","Preferred"
"Resilient","production","Preferred"
"Resilient","maize","Preferred"
"Intercropping","highly","Preferred"
"Intercropping","productive","Preferred"
"Intercropping","requires","Preferred"
"Intercropping","less","Preferred"
"Intercropping","fertilizer","Preferred"
"Drought Avoidance","resistant","Preferred"
"Drought Avoidance","drought","Preferred"
"Intercropping","multiple","Preferred"
"Intercropping","harvest","Preferred"
"Intercropping","intercrop","Preferred"
"Home Use & Family Consumption","crop","Preferred"
"Home Use & Family Consumption","drought","Preferred"
"Home Use & Family Consumption","resistant","Preferred"
"Drought Avoidance","drought","Preferred"
"Drought Avoidance","resistant","Preferred"
"Drought Avoidance","therefore","Preferred"
"Drought Avoidance","harvest","Preferred"
"Drought Avoidance","granted","Preferred"
"Feed & Fodder","survive","Preferred"
"Feed & Fodder","drought","Preferred"
"Feed & Fodder","attack","Preferred"
"Feed & Fodder","disease","Preferred"
"Resilient","large","Preferred"
"Resilient","harvest","Preferred"
"Resilient","survive","Preferred"
"Resilient","rainfall","Preferred"
"Resilient","drought","Preferred"
"Resilient","seasons","Preferred"
"Resilient","high","Preferred"
"Resilient","yield","Preferred"
"Home Use & Family Consumption","resistant","Preferred"
"Home Use & Family Consumption","drought","Preferred"
"Home Use & Family Consumption","disease","Preferred"
"Intercropping","suitable","Preferred"
"Intercropping","drought","Preferred"
"Intercropping","land","Preferred"
"Intercropping","resistant","Preferred"
"Intercropping","drought","Preferred"
"Intercropping","disease","Preferred"
"Intercropping","intercrop","Preferred"
"Resilient","need","Preferred"
"Resilient","much","Preferred"
"Resilient","fertilizer","Preferred"
"Resilient","almost","Preferred"
"Resilient","similar","Preferred"
"Resilient","current","Preferred"
"Resilient","variety","Preferred"
"Resilient","respondent","Preferred"
"Intercropping","higher","Preferred"
"Intercropping","yield","Preferred"
"Intercropping","intercrop","Preferred"
"Intercropping","still","Preferred"
"Resilient","resistant","Preferred"
"Resilient","crop","Preferred"
"Resilient","disease","Preferred"
"Resilient","requires","Preferred"
"Resilient","less","Preferred"
"Resilient","fertilizer","Preferred"
"Resilient","compared","Preferred"
"Home Use & Family Consumption","household","Preferred"
"Home Use & Family Consumption","consumption","Preferred"
"Home Use & Family Consumption","livestock","Preferred"
"Home Use & Family Consumption","fodder","Preferred"
"Resilient","resistant","Preferred"
"Resilient","drought","Preferred"
"Resilient","disease","Preferred"
"Home Use & Family Consumption","storage","Preferred"
"Home Use & Family Consumption","long","Preferred"
"Home Use & Family Consumption","time","Preferred"
"Home Use & Family Consumption","pests","Preferred"
"Home Use & Family Consumption","infestation","Preferred"
"Nutritious","sold","Preferred"
"Nutritious","income","Preferred"
"Drought Avoidance","performs","Preferred"
"Drought Avoidance","rainfall","Preferred"
"Drought Avoidance","scarse","Preferred"
"Drought Avoidance","plenty","Preferred"
"Intercropping","benefits","Preferred"
"Intercropping","livestock","Preferred"
"Intercropping","terms","Preferred"
"Intercropping","consumption","Preferred"
"Feed & Fodder","consumed","Preferred"
"Feed & Fodder","household","Preferred"
"Feed & Fodder","livestock","Preferred"
"Resilient","low","Preferred"
"Resilient","rainfall","Preferred"
"Resilient","seasons","Preferred"
"Resilient","still","Preferred"
"Resilient","harvest","Preferred"
"Resilient","normally","Preferred"
"Drought Avoidance","somehow","Preferred"
"Drought Avoidance","drought","Preferred"
"Drought Avoidance","resistant","Preferred"
"Drought Avoidance","compared","Preferred"
"Feed & Fodder","useful","Preferred"
"Feed & Fodder","livestock","Preferred"
"Feed & Fodder","livestock","Preferred"
